,precision,recall,f1-score,support
Attack,0.9761904761904762,0.9948914431673053,0.9854522454142948,783.0
Benign,0.9508509017018034,0.5608939942564615,0.7055774577096454,40045.0
C&C,1.0,0.10308253231687106,0.18689903846153844,3017.0
C&C-FileDownload,0.5,0.5714285714285714,0.5333333333333333,7.0
C&C-HeartBeat,0.9,0.36,0.5142857142857143,50.0
C&C-HeartBeat-FileDownload,0.0,0.0,0.0,0.0
C&C-Torii,1.0,0.2,0.33333333333333337,10.0
DDoS,0.9995213853717966,0.8212498212498213,0.9016583259738986,27972.0
FileDownload,0.0,0.0,0.0,3.0
Okiru,0.0,0.0,0.0,32607.0
PartOfAHorizontalPortScan,0.7428748395030472,0.9992337677343242,0.8521921328530789,164441.0
accuracy,0.7840630635655456,0.7840630635655456,0.7840630635655456,0.7840630635655456
macro avg,0.6426761457061022,0.41916183001394136,0.45570287103316703,268935.0
weighted avg,0.7140549767633306,0.7840630635655456,0.7250065144596152,268935.0
